구분,행정동,위치,배치수량,비고,위도,경도
취약지역,중곡 1동,서울특별시 광진구 중곡1동 612-8,100,,37.5594667477513,127.07444818395
취약지역,중곡 1동,서울특별시 광진구 중곡1동 648-15,100,,37.5580395601811,127.079705771398
취약지역,중곡 2동,서울특별시 광진구 중곡2동 40-14,100,,37.5623971745342,127.08266994463
취약지역,중곡 2동,서울특별시 광진구 중곡2동 157-8,100,,37.5573992594686,127.079916276316
취약지역,중곡 4동,서울특별시 광진구 중곡4동 58-17,100,,37.5597490952703,127.087855182308
취약지역,중곡 4동,서울특별시 광진구 중곡4동 58-27,100,,37.55933043062,127.087937877444
취약지역,중곡 4동,서울특별시 광진구 중곡4동 63-16,200,2개소,37.5590730475734,127.090165499774
취약지역,중곡 4동,서울특별시 광진구 중곡4동 109-2,100,,37.5551557720133,127.092623421765
취약지역,능 동,서울특별시 광진구 능동 279-2,100,,37.5562254818679,127.079320177584
취약지역,능 동,서울특별시 광진구 능동 220-6,100,,37.5566035434536,127.079983331581
취약지역,능 동,서울특별시 광진구 능동 18-14,400,2개소(구의문 주차장),37.5459743276628,127.083697847151
취약지역,능 동,서울특별시 광진구 능동 135-12,100,,37.5523190757142,127.08188790695
취약지역,능 동,서울특별시 광진구 능동 315-8,100,,37.5521512894468,127.077375927741
취약지역,구의 2동,서울특별시 광진구 구의2동 57-62,400,2개소,37.5502269332313,127.091261374029
취약지역,구의 2동,서울특별시 광진구 구의2동 30-10,100,,37.5437,127.0855
취약지역,구의 3동,서울특별시 광진구 구의3동 201-8,200,2개소,37.5415732071845,127.094909945674
취약지역,구의 3동,서울특별시 광진구 구의3동 202-1,100,,37.5433892786587,127.09319138525
취약지역,광장동,서울특별시 광진구 광장동 248-28,200,2개소,37.5468274940228,127.102640248838
취약지역,광장동,서울특별시 광진구 광장동 244-24,200,2개소,37.5460011335625,127.104754397546
취약지역,자양 1동,서울특별시 광진구 자양1동 779-5,200,2개소,37.5372997308419,127.082608512544
취약지역,자양 1동,서울특별시 광진구 자양1동 627-2,100,,37.5356460505299,127.083610496594
취약지역,자양 4동,서울특별시 광진구 자양4동 17-5,200,2개소,37.5415003079197,127.064813166459
취약지역,자양 4동,서울특별시 광진구 자양4동 236-13,100,,37.5369059592794,127.061383602346
취약지역,자양 4동,서울특별시 광진구 자양4동 553-22,100,,37.5349959365748,127.06795018097
취약지역,화양동,서울특별시 광진구  아차산로 243,200,2개소(건대입구역),37.5404188872176,127.069173281554
취약지역,화양동,서울특별시 광진구 동일로24길,200,2개소(현대아파트),37.5432182889033,127.067938519639
취약지역,군자동,서울특별시 광진구 군자동 149-12,100,,37.553368768304,127.073921874195
취약지역,군자동,서울특별시 광진구 군자동 134-52,200,2개소,37.5547755,127.0713868
취약지역,군자동,서울특별시 광진구 군자로 114,100,세종초등학교,37.5530110986438,127.072864629554
취약지역,군자동,서울특별시 광진구 군자동 374-9,400,2개소,37.5476336466758,127.073774192613
동 주민센터,중곡 1동,서울시 광진구 긴고랑로 12길49,300,,37.5606676237144,127.080052075962
동 주민센터,중곡 2동,서울시 광진구 능동로 346,300,,37.5601504693098,127.081475106274
동 주민센터,중곡 3동,서울시 광진구 동일로 76가길 28,100,,37.5688068928836,127.080138097194
동 주민센터,중곡 4동,서울시 광진구 긴고랑로 131,300,,37.5590986524587,127.089432923963
동 주민센터,능 동,서울시 광진구 천호대로 112길55,120,,37.5537605998899,127.080552145109
동 주민센터,구의 1동,서울시 광진구 광나루로36길 56,200,,37.5424132407312,127.085677335897
동 주민센터,구의 2동,서울시 광진구 천호대로136길 55,100,,37.547169602748,127.08993400467
동 주민센터,구의 3동,서울시 광진구 강변역로 17,200,,37.5379934173484,127.091984746444
동 주민센터,광 장 동,서울시 광진구 광장로 52,600,,37.54684012,127.1030232
동 주민센터,자양 1동,서울시 광진구 자양로 13길37,200,,37.5344979490775,127.082394865358
동 주민센터,자양 2동,서울시 광진구 자양로 3가길 26,160,,37.5287993322535,127.084387544694
동 주민센터,자양 3동,서울시 광진구 뚝섬로 568,130,,37.5338339360146,127.072902425153
동 주민센터,자양 4동,서울시 광진구 뚝섬로 26길 58,200,,37.5340977893248,127.066258359663
동 주민센터,화 양 동,서울시 광진구 능동로 17길39,200,,37.5465267774587,127.071267629589
동 주민센터,군 자 동,서울시 광진구 군자로 151,100,,37.5551638376572,127.075891610942
